asis_symbol,freq_cards,asis_source,status,mirror_symbol,mirror_path,signature_delta,example_card,example_line,notes
ChangeDigimonDPPlayerEffect,24,commons,OK,ChangeDigimonDPPlayerEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ChangeSecurityDigimonCardDPStaticEffect,24,primitive,OK,ChangeSecurityDigimonCardDPStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/ChangeCardDP.cs,,,,
SelectCardConditionClass,24,keywords,OK,SelectCardConditionClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/CardPortingFramework.cs,,,,
DeckBottomBounceClass,23,keywords,OK,SelectPermanentEffect.Mode.PutLibraryBottom (fused select+bounce),src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,"NO 1:1 class; AS-IS new DeckBottomBounceClass(list, hashtable).DeckBounce() -> select+bounce fused into a single SelectPermanentEffect with mode: Mode.PutLibraryBottom",BT21_030,593,Gap resolved via alternative surface. Primitive-audit: 'sink delegation'.
customPermanentMessageArray_ChangeDP,23,commons,OK,customPermanentMessageArray_ChangeDP,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/CustomMessage.cs,,,,
BouncePeremanentAndProcessAccordingToResult,22,commons,OK,BouncePeremanentAndProcessAccordingToResult,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerOnPermanentAttackTargetSwitch,22,commons,OK,CanTriggerOnPermanentAttackTargetSwitch,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GainJamming,21,commons,OK,GainJamming,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Jamming.cs,,,,
IsPermanentExistsOnOwnerBreedingArea,21,commons,OK,IsPermanentExistsOnOwnerBreedingArea,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanAttackTargetDefendingPermanentClass,20,keywords,OK,CanAttackTargetDefendingPermanentClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/CanAttackTargetDefendingPermanentClass.cs,,,,
CanNotAttackSelfStaticEffect,20,primitive,OK,CanNotAttackSelfStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/CanNotAttack.cs,,,,
CanTriggerWhenAddHand,20,commons,OK,CanTriggerWhenAddHand,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GainCanNotBlock,20,commons,OK,GainCanNotBlock,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GainReboot,20,commons,OK,GainReboot,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Reboot.cs,,,,
IsMinCost,20,commons,OK,IsMinCost,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerOnTrashDigivolutionCard,19,commons,OK,CanTriggerOnTrashDigivolutionCard,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
TrainingEffect,19,primitive,OK,TrainingEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Training.cs,,,,
EvadeSelfEffect,18,primitive,OK,EvadeSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Evade.cs,,,,
GainCantUnsuspendNextActivePhase,18,commons,OK,GainCantUnsuspendNextActivePhase,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
WhenDigivolvingCheckHashtableOfCard,18,commons,OK,WhenDigivolvingCheckHashtableOfCard,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/HashtableSetting.cs,,,,
BlitzSelfEffect,17,primitive,OK,BlitzSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Blitz.cs,,,,
Gain1MemoryTamerOpponentDigimonEffect,17,primitive,OK,Gain1MemoryTamerOpponentDigimonEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,,,,
GainCanNotReturnToDeck,17,commons,OK,GainCanNotReturnToDeck,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GainCanNotReturnToHand,17,commons,OK,GainCanNotReturnToHand,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GainCanNotUnsuspend,17,commons,OK,GainCanNotUnsuspend,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GainRaid,17,commons,OK,GainRaid,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Raid.cs,,,,
GainRetaliation,17,commons,OK,GainRetaliation,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Retaliation.cs,,,,
IgnoreRequirement,17,commons,OK,IgnoreRequirement,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsTopCardInTrashOnDeletion,17,commons,OK,IsTopCardInTrashOnDeletion,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
SaveProcess,17,commons,OK,SaveProcess,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ScapegoatSelfEffect,17,primitive,OK,ScapegoatSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Scapegoat.cs,,,,
GetPlayCardClassFromHashtable,16,commons,OK,GetPlayCardClassFromHashtable,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GetFromHashtable.cs,,,,
MandatorySelfPlayCostReduction,16,primitive,OK,MandatorySelfPlayCostReduction,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/ChangePlayCost.cs,,,,
PlayDiaboromonToken,16,commons,OK,PlayDiaboromonToken,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
UseRequirements,16,primitive,OK,UseRequirements,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,,,,
CanActivateSave,15,commons,OK,CanActivateSave,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
DeckBouncePeremanentAndProcessAccordingToResult,15,commons,OK,DeckBouncePeremanentAndProcessAccordingToResult,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
DecodeSelfEffect,15,primitive,OK,DecodeSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Decode.cs,,,,
GainCanNotUnsuspendPlayerEffect,15,commons,OK,GainCanNotUnsuspendPlayerEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsExistOnExecutingArea,15,commons,OK,IsExistOnExecutingArea,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
AddAssemblyConditionClass,14,keywords,OK,AddAssemblyConditionClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/AddAssemblyConditionClass.cs,,,,
CanNotDigivolveClass,14,keywords,OK,CanNotDigivolveClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/CanNotEvolveClass.cs,,,,
CanTriggerWhenAddSecurity,14,commons,OK,CanTriggerWhenAddSecurity,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ChangeCardColorClass,14,keywords,OK,ChangeCardColorClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/ChangeCardColorClass.cs,,,,
ReturnToLibraryBottomDigivolutionCardsClass,14,keywords,OK,ReturnToLibraryBottomDigivolutionCardsClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs,"ctor DROPS hashtable arg, GAINS (causeEffectSourceId = cardEffect.EffectSourceCard?.InstanceId, cardEffect); .ReturnToLibraryBottomDigivolutionCards() await",BT9_111,214,Haiku-pilot false-STOP #5 (ReturnToLibraryBottom). CardController.cs:1467.
CanNotDigivolveStaticSelfEffect,13,primitive,OK,CanNotDigivolveStaticSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/CanNotDigivolve.cs,,,,
CanNotSwitchAttackTargetClass,13,keywords,OK,CanNotSwitchAttackTargetClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/CanNotSwitchAttackTargetClass.cs,,,,
ChangeSecurityDigimonCardDPPlayerEffect,13,commons,OK,ChangeSecurityDigimonCardDPPlayerEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
Gain2MemoryOptionDelayEffect,13,primitive,OK,Gain2MemoryOptionDelayEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,,,,
MaterialSaveEffect,13,primitive,OK,MaterialSaveEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/MaterialSave.cs,,,,
PartitionSelfEffect,13,primitive,OK,PartitionSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Partition.cs,,,,
CanTriggerOnTrashSelfSecurity,12,commons,OK,CanTriggerOnTrashSelfSecurity,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ChangeBaseDPClass,12,keywords,OK,ChangeBaseDPClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/ChangeBaseDPClass.cs,,,,
DecoySelfEffect,12,primitive,OK,DecoySelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Decoy.cs,,,,
GainAlliance,12,commons,OK,GainAlliance,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Alliance.cs,,,,
HasMatchConditionOwnersSecurity,12,commons,OK,HasMatchConditionOwnersSecurity,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IcecladSelfStaticEffect,12,primitive,OK,IcecladSelfStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Iceclad.cs,,,,
IsDijiXros,12,commons,OK,IsDijiXros,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsExistOnBattleAreaActivate,12,commons,OK,IsExistOnBattleAreaActivate,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsExistOnBattleAreaTrigger,12,commons,OK,IsExistOnBattleAreaTrigger,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsMaxDP,12,commons,OK,IsMaxDP,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
VortexSelfEffect,12,primitive,OK,VortexSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Vortex.cs,,,,
CanTriggerWhenSelfDiscardLibrary,11,commons,OK,CanTriggerWhenSelfDiscardLibrary,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ChangeDPDeleteEffectMaxDPClass,11,keywords,OK,ChangeDPDeleteEffectMaxDPClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/ChangeDPDeleteEffectMaxDPClass.cs,,,,
ChangeDigimonSAttackPlayerEffect,11,commons,OK,ChangeDigimonSAttackPlayerEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GainCanNotAttackPlayerEffect,11,commons,OK,GainCanNotAttackPlayerEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GainCanNotBeDeletedByBattle,11,commons,OK,GainCanNotBeDeletedByBattle,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GainImmuneFromDPMinus,11,commons,OK,GainImmuneFromDPMinus,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ImmuneFromDeDigivolveClass,11,keywords,OK,ImmuneFromDeDigivolveClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/ImmuneFromDeDigivolveClass.cs,,,,
IsMaxLevel,11,commons,OK,IsMaxLevel,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
MindLinkClass,11,keywords,OK,MindLinkClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/MindLink.cs,,,,
OverclockSelfEffect,11,primitive,OK,OverclockSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Overclock.cs,,,,
RushStaticEffect,11,primitive,OK,RushStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Rush.cs,,,,
SelectCountEffect,11,actions,OK,SelectCountEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/SelectCountEffect.cs,,,,
TrashLinkCardsAndProcessAccordingToResult,11,commons,OK,TrashLinkCardsAndProcessAccordingToResult,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerOnTrashSelfHand,10,commons,OK,CanTriggerOnTrashSelfHand,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ChangeSAttackStaticEffect,10,primitive,OK,ChangeSAttackStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
HatchDigiEggClass,10,keywords,ABSENT,,,no mirror effect-class; AS-IS delegates to a hatch sink with no ported equivalent,,,TRUE INFRA GAP. Weak model must STOP: RD-SYMMAP-HatchDigiEggClass. freq~10 cards.
IsMaxCost,10,commons,OK,IsMaxCost,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
OnPlayCheckHashtableOfCard,10,commons,OK,OnPlayCheckHashtableOfCard,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/HashtableSetting.cs,,,,
AddMaxTrashCountDigiXrosClass,9,keywords,OK,AddMaxTrashCountDigiXrosClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/AddMaxTrashCountDigiXrosClass.cs,,,,
BecomeDigimonThatCantDigivolve,9,commons,OK,BecomeDigimonThatCantDigivolve,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/TamerBecomesDigimonThatCanNotDigivolve.cs,,,,
CanNotBeBlockedStaticSelfEffect,9,primitive,OK,CanNotBeBlockedStaticSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/CanNotBeBlocked.cs,,,,
CanTriggerWhenDiscardLibrary,9,commons,OK,CanTriggerWhenDiscardLibrary,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GetEvoRootTopsFromEnterFieldHashtable,9,commons,OK,GetEvoRootTopsFromEnterFieldHashtable,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GrantedReduceLinkCostClass,9,primitive,OK,GrantedReduceLinkCostClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Link.cs,,,,
IsExistLinked,9,commons,OK,IsExistLinked,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsExistOnBreedingArea,9,commons,OK,IsExistOnBreedingArea,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsFromDigimonDigivolutionCards,9,commons,OK,IsFromDigimonDigivolutionCards,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsOnly1CardPlayed,9,commons,OK,IsOnly1CardPlayed,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GetFromHashtable.cs,,,,
AddMaxUnderTamerCountDigiXrosClass,8,keywords,OK,AddMaxUnderTamerCountDigiXrosClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/AddMaxUnderTamerCountDigiXrosClass.cs,,,,
ChangeCardNamesForDigiXrosClass,8,keywords,OK,ChangeCardNamesForDigiXrosClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/ChangeCardNamesForDigiXrosClass.cs,,,,
ChangeSelfLinkMaxStaticEffect,8,primitive,OK,ChangeSelfLinkMaxStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/ChangeLinkMax.cs,,,,
GainCanNotBeDeletedByEffect,8,commons,OK,GainCanNotBeDeletedByEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
TrashDigivolutionCardsAndProcessAccordingToResult,8,commons,OK,TrashDigivolutionCardsAndProcessAccordingToResult,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
BlastDNADigivolveEffect,7,primitive,OK,BlastDNADigivolveEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/BlastDNADigivolution.cs,,,,
CanNotPutFieldClass,7,keywords,OK,CanNotPutFieldClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/CanNotPutFieldClass.cs,,,,
CanTriggerOnTrashLinkedCard,7,commons,OK,CanTriggerOnTrashLinkedCard,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerWhenWinBattle,7,commons,OK,CanTriggerWhenWinBattle,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CantUnsuspendStaticEffect,7,primitive,OK,CantUnsuspendStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/CanNotUnsuspend.cs,,,,
ExecuteSelfEffect,7,primitive,OK,ExecuteSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Execute.cs,,,,
FragmentSelfEffect,7,primitive,OK,FragmentSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Fragment.cs,,,,
GainCanNotSuspendPlayerEffect,7,commons,OK,GainCanNotSuspendPlayerEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsExistOnBreedingAreaDigimon,7,commons,OK,IsExistOnBreedingAreaDigimon,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
OptionMainCheckHashtable,7,commons,OK,OptionMainCheckHashtable,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/HashtableSetting.cs,,,,
RebootStaticEffect,7,primitive,OK,RebootStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Reboot.cs,,,,
ReplaceBottomSecurityWithFaceUpOptionEffect,7,primitive,OK,ReplaceBottomSecurityWithFaceUpOptionEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,,,,
ReplaceBottomSecurityWithFaceUpOptionMainEffect,7,primitive,OK,ReplaceBottomSecurityWithFaceUpOptionMainEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,,,,
SuspendPeremanentAndProcessAccordingToResult,7,commons,OK,SuspendPeremanentAndProcessAccordingToResult,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ArtsDigivolveEffect,6,primitive,OK,ArtsDigivolveEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/ArtsDigivolve.cs,,,,
CanNotAttackStaticEffect,6,primitive,OK,CanNotAttackStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/CanNotAttack.cs,,,,
CanNotBeDestroyedBySkillStaticEffect,6,primitive,OK,CanNotBeDestroyedBySkillStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/CanNotBeDeletedByEffect.cs,,,,
CanTriggerOnAttackTargetSwitch,6,commons,OK,CanTriggerOnAttackTargetSwitch,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerOnTrashBySelfDigiBurst,6,commons,OK,CanTriggerOnTrashBySelfDigiBurst,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerWhenPermanentWouldDigivolveOfCard,6,commons,OK,CanTriggerWhenPermanentWouldDigivolveOfCard,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CannotAddMemoryClass,6,keywords,OK,CannotAddMemoryClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/CannotAddMemoryClass.cs,,,,
ChangePermanentLevelClass,6,keywords,OK,ChangePermanentLevelClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/ChangePermanentLevelClass.cs,,,,
DontHaveDPClass,6,keywords,OK,DontHaveDPClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/DontHaveDPClass.cs,,,,
GainCanNotBeBlocked,6,commons,OK,GainCanNotBeBlocked,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
HasMatchConditionOpponentsCardInTrash,6,commons,OK,HasMatchConditionOpponentsCardInTrash,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsPermanentExistsOnOpponentBattleAreaTamer,6,commons,OK,IsPermanentExistsOnOpponentBattleAreaTamer,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
PlacePermanentInSecurityAndProcessAccordingToResult,6,commons,OK,PlacePermanentInSecurityAndProcessAccordingToResult,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ProgressSelfStaticEffect,6,primitive,OK,ProgressSelfStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Progress.cs,,,,
TreatAsDigimonClass,6,keywords,OK,TreatAsDigimonClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/TreatAsDigimonClass.cs,,,,
AddBurstDigivolutionConditionClass,5,keywords,OK,AddBurstDigivolutionConditionClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/AddBurstDigivolutionConditionClass.cs,,,,
AddDetailClass,5,primitive,OK,AddDetailClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,,,,
AllianceStaticEffect,5,primitive,OK,AllianceStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Alliance.cs,,,,
BlitzProcess,5,commons,OK,BlitzProcess,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanActivateBlitz,5,commons,OK,CanActivateBlitz,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanUseIgnoreBattle,5,commons,OK,CanUseIgnoreBattle,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CannotReduceCostClass,5,keywords,OK,CannotReduceCostClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/CannotReduceCostClass.cs,,,,
DontBattleSecurityDigimonClass,5,keywords,OK,DontBattleSecurityDigimonClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/DontBattleSecurityDigimonClass.cs,,,,
GainCollision,5,commons,OK,GainCollision,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Collision.cs,,,,
HasMatchConditionOwnersBreedingPermanent,5,commons,OK,HasMatchConditionOwnersBreedingPermanent,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsDPZeroDelete,5,commons,OK,IsDPZeroDelete,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
OptionMainEffect,5,commons,OK,OptionMainEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/OptionMainEffect.cs,,,,
PlayFamiliarToken,5,commons,OK,PlayFamiliarToken,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ReturnRevealedCardsToLibraryBottom,5,commons,OK,ReturnRevealedCardsToLibraryBottom,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
TrashSecurityAndProcessAccordingToResult,5,commons,OK,TrashSecurityAndProcessAccordingToResult,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
AddJogressLevelsClass,4,keywords,OK,AddJogressLevelsClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/AddJogressLevelsClass.cs,,,,
AddSelfDeleteEffect,4,commons,OK,AddSelfDeleteEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanActivateSelfOnDeletionWithContainingCardName,4,commons,OK,CanActivateSelfOnDeletionWithContainingCardName,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ChangeBaseDigimonDP,4,commons,OK,ChangeBaseDigimonDP,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
DeleteTiming,4,commons,OK,DeleteTiming,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/DeleteSelf.cs,,,,
GainBlockerPlayerEffect,4,commons,OK,GainBlockerPlayerEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Blocker.cs,,,,
GetCardEffectFromHashtable,4,commons,OK,GetCardEffectFromHashtable,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GetCardSourcesFromHashtable,4,commons,OK,GetCardSourcesFromHashtable,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GetFaceDownFromHashtable,4,commons,OK,GetFaceDownFromHashtable,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsDigivolvedByTheEffect,4,commons,OK,IsDigivolvedByTheEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsExistInAnyTrash,4,commons,OK,IsExistInAnyTrash,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
OwnerHas1OrLessTamers,4,commons,ABSENT,,,no mirror CardEffectCommons helper of this name and no obvious 1st-order assembly (no GetBattleAreaTamers surface found),,,TRUE INFRA GAP. Weak model must STOP: RD-SYMMAP-OwnerHas1OrLessTamers. freq~4 cards.
AceOverflowClass,3,keywords,OK,AceOverflowClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs,,,,
AddAppFusionConditionClass,3,keywords,OK,AddAppFusionConditionClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/AddAppFusionConditionClass.cs,,,,
AddDigivolutionRequirementClass,3,keywords,OK,AddDigivolutionRequirementClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/AddEvolutionConditionClass.cs,,,,
