분류,기존_의존성_함수명,기존_위치,현재_포팅_함수명,현재_위치,상태,상태_설명,한글_설명,원문_메모
존/카드상태/GameObject,"GameObject, Transform, Image, SetActive visual-only calls",Unity object scripts,UnityNullObjectPolicy.Evaluate(...) / ShouldExclude(...),"src/HeadlessDCGO.Engine/Headless/Bridge/UnityNullObjectPolicy.cs:7, src/HeadlessDCGO.Engine/Headless/Bridge/UnityNullObjectPolicy.cs:43",EXCLUDED,제외: 시각/UI/클라이언트 전용이라 Headless 런타임에 넣지 않음,"GameObject/Transform 기반 카드 위치와 상태를 ZoneState, IZoneMover, CardInstanceState 같은 순수 데이터 모델로 바꾼다. 게임 상태에 영향이 없으면 포팅하지 않는다.",Visual-only objects are no-op/excluded unless gameplay service replacement is required.
존/카드상태/GameObject,"SetParent, sibling index/order",card object hierarchy,"ZoneState.InsertTop(...), InsertBottom(...), InsertAt(...)","src/HeadlessDCGO.Engine/Headless/State/ZoneState.cs:101, src/HeadlessDCGO.Engine/Headless/State/ZoneState.cs:108, src/HeadlessDCGO.Engine/Headless/State/ZoneState.cs:115",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GameObject/Transform 기반 카드 위치와 상태를 ZoneState, IZoneMover, CardInstanceState 같은 순수 데이터 모델로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Ordered zone collection replaces transform hierarchy.
존/카드상태/GameObject,remove card object from area,"CardObjectController, Player zones",ZoneState.Remove(...),src/HeadlessDCGO.Engine/Headless/State/ZoneState.cs:130,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GameObject/Transform 기반 카드 위치와 상태를 ZoneState, IZoneMover, CardInstanceState 같은 순수 데이터 모델로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Pure data mutation.
존/카드상태/GameObject,move card between zones,"RemoveFromAllArea, MovePermanent, zone object moves",IZoneMover.MoveAsync(...) / InMemoryZoneMover.MoveAsync(...),"src/HeadlessDCGO.Engine/Headless/Services/IZoneMover.cs:9, src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:53",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GameObject/Transform 기반 카드 위치와 상태를 ZoneState, IZoneMover, CardInstanceState 같은 순수 데이터 모델로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Main zone movement API.
존/카드상태/GameObject,AddHandCard,"Player.cs, CardObjectController.cs",InMemoryZoneMover.AddToHandAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:61,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GameObject/Transform 기반 카드 위치와 상태를 ZoneState, IZoneMover, CardInstanceState 같은 순수 데이터 모델로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Adds card to hand zone.
존/카드상태/GameObject,AddTrashCard,"Player.cs, CardObjectController.cs",InMemoryZoneMover.AddToTrashAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:69,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GameObject/Transform 기반 카드 위치와 상태를 ZoneState, IZoneMover, CardInstanceState 같은 순수 데이터 모델로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Adds card to trash zone.
존/카드상태/GameObject,AddSecurityCard,"Player.cs, security flows",InMemoryZoneMover.AddToSecurityAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:77,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GameObject/Transform 기반 카드 위치와 상태를 ZoneState, IZoneMover, CardInstanceState 같은 순수 데이터 모델로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Adds card to security zone.
존/카드상태/GameObject,draw from deck/library,"Draw, library top moves",InMemoryZoneMover.DrawAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:101,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GameObject/Transform 기반 카드 위치와 상태를 ZoneState, IZoneMover, CardInstanceState 같은 순수 데이터 모델로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Draws deterministic top cards.
존/카드상태/GameObject,add security from library,security setup/recovery flows,InMemoryZoneMover.AddSecurityFromLibraryAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:117,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GameObject/Transform 기반 카드 위치와 상태를 ZoneState, IZoneMover, CardInstanceState 같은 순수 데이터 모델로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Moves from library to security.
존/카드상태/GameObject,trash security,security check/trash flows,InMemoryZoneMover.TrashSecurityAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:134,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GameObject/Transform 기반 카드 위치와 상태를 ZoneState, IZoneMover, CardInstanceState 같은 순수 데이터 모델로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Moves security cards to trash.
존/카드상태/GameObject,hatch digitama,breeding area setup,InMemoryZoneMover.HatchDigitamaAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:163,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GameObject/Transform 기반 카드 위치와 상태를 ZoneState, IZoneMover, CardInstanceState 같은 순수 데이터 모델로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Moves digitama to breeding.
존/카드상태/GameObject,move breeding to battle,raising phase movement,InMemoryZoneMover.MoveBreedingToBattleAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:181,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GameObject/Transform 기반 카드 위치와 상태를 ZoneState, IZoneMover, CardInstanceState 같은 순수 데이터 모델로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Moves breeding card(s) to battle.
존/카드상태/GameObject,shuffle deck/library,"Shuffle, GameRandom, deck randomization",InMemoryZoneMover.ShuffleAsync(...) / GameRandomSource.Shuffle<T>(...),"src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:201, src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:60",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GameObject/Transform 기반 카드 위치와 상태를 ZoneState, IZoneMover, CardInstanceState 같은 순수 데이터 모델로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Seeded shuffle.
존/카드상태/GameObject,suspended/revealed/card flags,"CardController, CardObjectController, Permanent state","CardInstanceState.Suspend(), Unsuspend(), Reveal(), Hide(), SetFlag(...)","src/HeadlessDCGO.Engine/Headless/State/CardInstanceState.cs:75, src/HeadlessDCGO.Engine/Headless/State/CardInstanceState.cs:80, src/HeadlessDCGO.Engine/Headless/State/CardInstanceState.cs:85, src/HeadlessDCGO.Engine/Headless/State/CardInstanceState.cs:90, src/HeadlessDCGO.Engine/Headless/State/CardInstanceState.cs:153",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"GameObject/Transform 기반 카드 위치와 상태를 ZoneState, IZoneMover, CardInstanceState 같은 순수 데이터 모델로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Data state exists; full rule semantics later.
데이터 로딩,"Resources.Load, Resources.LoadAll for gameplay card data",Unity Resources usage,CardAssetJsonLoader.LoadFile(...) / LoadDirectory(...),"src/HeadlessDCGO.Engine/Headless/DataLoading/CardAssetJsonLoader.cs:65, src/HeadlessDCGO.Engine/Headless/DataLoading/CardAssetJsonLoader.cs:106",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Resources, ScriptableObject, CardBaseEntity, deck/banlist 로딩을 Unity 없는 JSON/DB/loader 계층으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Loads converted card JSON without Unity runtime.
데이터 로딩,async file load,future runner/data pipeline,CardAssetJsonLoader.LoadFileAsync(...),src/HeadlessDCGO.Engine/Headless/DataLoading/CardAssetJsonLoader.cs:84,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Resources, ScriptableObject, CardBaseEntity, deck/banlist 로딩을 Unity 없는 JSON/DB/loader 계층으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Async loader contract.
데이터 로딩,load card directory into DB,Unity asset database replacement,CardAssetJsonLoader.LoadDirectoryInto(...),src/HeadlessDCGO.Engine/Headless/DataLoading/CardAssetJsonLoader.cs:127,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Resources, ScriptableObject, CardBaseEntity, deck/banlist 로딩을 Unity 없는 JSON/DB/loader 계층으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Populates CardDatabase.
데이터 로딩,CEntity_Base / CardBaseEntity definition lookup,"DCGO/Assets/CardBaseEntity, CardObjectController.cs","CardDatabase.Upsert(...), TryGetCard(...), GetCard(...), Query(...)","src/HeadlessDCGO.Engine/Headless/DataLoading/CardDatabase.cs:11, src/HeadlessDCGO.Engine/Headless/DataLoading/CardDatabase.cs:26, src/HeadlessDCGO.Engine/Headless/DataLoading/CardDatabase.cs:31, src/HeadlessDCGO.Engine/Headless/DataLoading/CardDatabase.cs:36",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Resources, ScriptableObject, CardBaseEntity, deck/banlist 로딩을 Unity 없는 JSON/DB/loader 계층으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Queryable card definition source.
데이터 로딩,deck code/file load,"ContinuousController, deck UI/load helpers","DeckListLoader.LoadFile(...), ParseCode(...), LoadLines(...)","src/HeadlessDCGO.Engine/Headless/DataLoading/DeckListLoader.cs:7, src/HeadlessDCGO.Engine/Headless/DataLoading/DeckListLoader.cs:38, src/HeadlessDCGO.Engine/Headless/DataLoading/DeckListLoader.cs:44",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Resources, ScriptableObject, CardBaseEntity, deck/banlist 로딩을 Unity 없는 JSON/DB/loader 계층으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Unity-free deck list loading.
데이터 로딩,banlist option/data load,"ContinuousController, gameplay options","BanlistLoader.LoadFile(...), ParseCode(...), LoadLines(...)","src/HeadlessDCGO.Engine/Headless/DataLoading/BanlistLoader.cs:7, src/HeadlessDCGO.Engine/Headless/DataLoading/BanlistLoader.cs:38, src/HeadlessDCGO.Engine/Headless/DataLoading/BanlistLoader.cs:44",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Resources, ScriptableObject, CardBaseEntity, deck/banlist 로딩을 Unity 없는 JSON/DB/loader 계층으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Unity-free banlist loading.
데이터 로딩,deck legality checks,UI/deck validation flows,DeckValidator.Validate(...),src/HeadlessDCGO.Engine/Headless/DataLoading/DeckValidator.cs:10,CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"Resources, ScriptableObject, CardBaseEntity, deck/banlist 로딩을 Unity 없는 JSON/DB/loader 계층으로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Validation exists; game-format rules can expand later.
효과/타이밍/Hashtable,"Hashtable, GetFromHashtable, HashtableSetting effect payloads","CardEffectCommons.cs, effect scripts",EffectContext(...),"src/HeadlessDCGO.Engine/Headless/Effects/EffectContext.cs:8, src/HeadlessDCGO.Engine/Headless/Effects/EffectContext.cs:22",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Hashtable payload, AutoProcessing, effect stack/timing 처리를 typed EffectContext, EffectRequest, Queue, Scheduler로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Typed context plus metadata dictionary.
효과/타이밍/Hashtable,"SkillInfo, effect activation request","AutoProcessing.cs, MultipleSkills.cs, CardEffectFactory.cs",EffectRequest(...),src/HeadlessDCGO.Engine/Headless/Effects/EffectRequest.cs:7,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Hashtable payload, AutoProcessing, effect stack/timing 처리를 typed EffectContext, EffectRequest, Queue, Scheduler로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",One queued effect activation request.
효과/타이밍/Hashtable,"StackedSkillInfos, PutStackedSkill, queued skills","AutoProcessing.cs, MultipleSkills.cs","EffectResolutionQueue.Enqueue(...), TryPeek(...), TryDequeue(...)","src/HeadlessDCGO.Engine/Headless/Effects/EffectResolutionQueue.cs:9, src/HeadlessDCGO.Engine/Headless/Effects/EffectResolutionQueue.cs:15, src/HeadlessDCGO.Engine/Headless/Effects/EffectResolutionQueue.cs:27",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Hashtable payload, AutoProcessing, effect stack/timing 처리를 typed EffectContext, EffectRequest, Queue, Scheduler로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Deterministic queue contract.
효과/타이밍/Hashtable,"AutoProcessCheck, RuleProcess, TriggeredSkillProcess, ActivateBackgroundEffects",AutoProcessing.cs,"EffectScheduler.Enqueue(...), ResolveNextAsync(...), ResolveAllAsync(...)","src/HeadlessDCGO.Engine/Headless/Effects/EffectScheduler.cs:31, src/HeadlessDCGO.Engine/Headless/Effects/EffectScheduler.cs:53, src/HeadlessDCGO.Engine/Headless/Effects/EffectScheduler.cs:104",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"Hashtable payload, AutoProcessing, effect stack/timing 처리를 typed EffectContext, EffectRequest, Queue, Scheduler로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Queue and scheduling contract exists; real effect bodies later.
효과/타이밍/Hashtable,effect lookup by timing,"AutoProcessing.cs, effect factory/discovery",IEffectQueryService.GetEffectsForTiming(...) / InMemoryEffectQueryService.GetEffectsForTiming(...),"src/HeadlessDCGO.Engine/Headless/Services/IEffectQueryService.cs, src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs:15",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Hashtable payload, AutoProcessing, effect stack/timing 처리를 typed EffectContext, EffectRequest, Queue, Scheduler로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Timing-based effect query surface.
효과/타이밍/Hashtable,continuous effect query,"ContinuousController, permanent effect lists",InMemoryEffectQueryService.GetContinuousEffects(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs:25,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Hashtable payload, AutoProcessing, effect stack/timing 처리를 typed EffectContext, EffectRequest, Queue, Scheduler로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Role-specific query.
효과/타이밍/Hashtable,replacement effect query,replacement effects,InMemoryEffectQueryService.GetReplacementEffects(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs:31,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Hashtable payload, AutoProcessing, effect stack/timing 처리를 typed EffectContext, EffectRequest, Queue, Scheduler로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Role-specific query.
효과/타이밍/Hashtable,modifier/restriction query,modifier/restriction effects,"InMemoryEffectQueryService.GetModifierEffects(...), GetRestrictionEffects(...)","src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs:37, src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs:43",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Hashtable payload, AutoProcessing, effect stack/timing 처리를 typed EffectContext, EffectRequest, Queue, Scheduler로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Role-specific query.
효과/타이밍/Hashtable,effect registry/factory lookup,"CardEffectFactory.cs, PermanentEffects, EffectList","EffectRegistry.Register(...), GetEffects(...), Find(...)","src/HeadlessDCGO.Engine/Headless/Effects/EffectRegistry.cs:24, src/HeadlessDCGO.Engine/Headless/Effects/EffectRegistry.cs:38, src/HeadlessDCGO.Engine/Headless/Effects/EffectRegistry.cs:103",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"Hashtable payload, AutoProcessing, effect stack/timing 처리를 typed EffectContext, EffectRequest, Queue, Scheduler로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Registry contract exists; actual card effect binding later.
효과/타이밍/Hashtable,timing window collection,trigger timing checks,"DefaultTimingWindowResolver.CollectTriggers(...), OpenWindow(...)","src/HeadlessDCGO.Engine/Headless/Rules/TimingWindowResolver.cs:24, src/HeadlessDCGO.Engine/Headless/Rules/TimingWindowResolver.cs:57",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"Hashtable payload, AutoProcessing, effect stack/timing 처리를 typed EffectContext, EffectRequest, Queue, Scheduler로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Timing window contract exists.
랜덤/로그/진단,"UnityEngine.Random, GameRandom, IsSucceedProbability","GameRandom.cs, ContinuousController.cs","IRandomSource / GameRandomSource.NextInt(...), NextDouble(), Shuffle<T>(...)","src/HeadlessDCGO.Engine/Headless/Services/IRandomSource.cs, src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:36, src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:55, src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:60",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity Random, Debug.Log, PlayLog를 seeded random, ILogSink, EngineTrace로 바꿔 재현 가능한 실행을 만든다. 현재 바로 사용할 수 있는 매핑이다.",Seeded deterministic random source.
랜덤/로그/진단,random seed reset,ContinuousController.SetRandom style state,GameRandomSource.ResetSeed(int),src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:20,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity Random, Debug.Log, PlayLog를 seeded random, ILogSink, EngineTrace로 바꿔 재현 가능한 실행을 만든다. 현재 바로 사용할 수 있는 매핑이다.",Explicit seed control.
랜덤/로그/진단,"Debug.Log, Debug.LogWarning, Debug.LogError",Unity console calls,"ILogSink.Info(...), Warn(...), Error(...)",src/HeadlessDCGO.Engine/Headless/Services/ILogSink.cs,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity Random, Debug.Log, PlayLog를 seeded random, ILogSink, EngineTrace로 바꿔 재현 가능한 실행을 만든다. 현재 바로 사용할 수 있는 매핑이다.",Plain log abstraction.
랜덤/로그/진단,optional no-op logging,client-only log side effects,"NullLogSink.Info(...), Warn(...), Error(...)","src/HeadlessDCGO.Engine/Headless/Services/NullLogSink.cs:5, src/HeadlessDCGO.Engine/Headless/Services/NullLogSink.cs:9, src/HeadlessDCGO.Engine/Headless/Services/NullLogSink.cs:13",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity Random, Debug.Log, PlayLog를 seeded random, ILogSink, EngineTrace로 바꿔 재현 가능한 실행을 만든다. 현재 바로 사용할 수 있는 매핑이다.",Removes log side effects.
랜덤/로그/진단,capture logs for tests,Unity console / PlayLog output,"InMemoryLogSink.Info(...), Snapshot(), Clear()","src/HeadlessDCGO.Engine/Headless/Services/InMemoryLogSink.cs:10, src/HeadlessDCGO.Engine/Headless/Services/InMemoryLogSink.cs:25, src/HeadlessDCGO.Engine/Headless/Services/InMemoryLogSink.cs:30",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity Random, Debug.Log, PlayLog를 seeded random, ILogSink, EngineTrace로 바꿔 재현 가능한 실행을 만든다. 현재 바로 사용할 수 있는 매핑이다.",Testable log collection.
랜덤/로그/진단,PlayLog.OnAddLog,PlayLog.cs,EngineTrace.Record(...),src/HeadlessDCGO.Engine/Headless/Diagnostics/EngineTrace.cs:22,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity Random, Debug.Log, PlayLog를 seeded random, ILogSink, EngineTrace로 바꿔 재현 가능한 실행을 만든다. 현재 바로 사용할 수 있는 매핑이다.",Structured deterministic trace.
랜덤/로그/진단,trace snapshot,UI log panel state,EngineTrace.Snapshot(),src/HeadlessDCGO.Engine/Headless/Diagnostics/EngineTrace.cs:44,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity Random, Debug.Log, PlayLog를 seeded random, ILogSink, EngineTrace로 바꿔 재현 가능한 실행을 만든다. 현재 바로 사용할 수 있는 매핑이다.",Replay/debug inspection.
랜덤/로그/진단,deterministic trace hash,parity/debug comparison,EngineTrace.Fingerprint(),src/HeadlessDCGO.Engine/Headless/Diagnostics/EngineTrace.cs:49,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity Random, Debug.Log, PlayLog를 seeded random, ILogSink, EngineTrace로 바꿔 재현 가능한 실행을 만든다. 현재 바로 사용할 수 있는 매핑이다.",Stable comparison surface.
네트워크/클라이언트 전용,"PhotonNetwork, PhotonView, [PunRPC], Room, Player network callbacks",Photon/PUN usage under Unity client,"SessionContext, HeadlessActionQueue, GameEvent","src/HeadlessDCGO.Engine/Headless/Runtime/SessionContext.cs, src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionQueue.cs, src/HeadlessDCGO.Engine/Headless/Runtime/GameEvent.cs",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"Photon/RPC/시각 UI/애니메이션/오디오 같은 클라이언트 의존성은 Headless core에서 제거하거나 세션/액션/이벤트로 대체한다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Local deterministic session/action/event model replaces network transport in core.
네트워크/클라이언트 전용,RPC action sync,Photon RPC methods,HeadlessActionQueue.Enqueue(...) / ReplayActionRecord.Serialize(),"src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionQueue.cs:15, src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionQueue.cs:133",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,Photon/RPC/시각 UI/애니메이션/오디오 같은 클라이언트 의존성은 Headless core에서 제거하거나 세션/액션/이벤트로 대체한다. 현재 바로 사용할 수 있는 매핑이다.,Replay metadata replaces RPC dependency for deterministic runs.
네트워크/클라이언트 전용,"TextMeshPro, UnityEngine.UI, DOTween, Animator, AudioSource, Camera, VFX calls",visual/client scripts,no gameplay replacement; use UnityNullObjectPolicy only when encountered during migration,src/HeadlessDCGO.Engine/Headless/Bridge/UnityNullObjectPolicy.cs,EXCLUDED,제외: 시각/UI/클라이언트 전용이라 Headless 런타임에 넣지 않음,Photon/RPC/시각 UI/애니메이션/오디오 같은 클라이언트 의존성은 Headless core에서 제거하거나 세션/액션/이벤트로 대체한다. 게임 상태에 영향이 없으면 포팅하지 않는다.,These must not become Headless runtime dependencies.
네트워크/클라이언트 전용,WebSocketSharp transport,network/client transport,none in core engine,N/A,EXCLUDED,제외: 시각/UI/클라이언트 전용이라 Headless 런타임에 넣지 않음,Photon/RPC/시각 UI/애니메이션/오디오 같은 클라이언트 의존성은 Headless core에서 제거하거나 세션/액션/이벤트로 대체한다. 게임 상태에 영향이 없으면 포팅하지 않는다.,"Future remote runner, if needed, belongs outside core engine."
