goal_id,phase,area,goal,scope,deliverables,unit_test_scope,result_document,blocked_until,completion_gate,priority
G4C-003,Phase 4,Triggers,Deletion Trash Move trigger 포팅,삭제 트래시 이동 trigger 구현,trigger batch move delete,deletion trash move 테스트,docs/test-results/goals/G4C-003_delete_trash_move_triggers_unit_test_results.md,G4C-002,delete trash move 테스트 통과,HIGH
G4C-004,Phase 4,Triggers,Security trigger 포팅,security effect와 security reveal trigger 구현,security trigger batch,security effect 테스트,docs/test-results/goals/G4C-004_security_triggers_unit_test_results.md,G4C-003,security trigger 테스트 통과,HIGH
G4C-005,Phase 4,Triggers,OptionUse Suspend Link trigger 포팅,option suspend link 관련 trigger 구현,trigger batch option suspend link,option suspend link 테스트,docs/test-results/goals/G4C-005_option_suspend_link_triggers_unit_test_results.md,G4C-004,option suspend link 테스트 통과,HIGH
G4D-001,Phase 4,Modifiers,DP Cost SAttack modifiers 포팅,일반 modifier 카드 효과 구현,generic modifier batch,DP cost SAttack 테스트,docs/test-results/goals/G4D-001_dp_cost_sattack_modifiers_unit_test_results.md,G4C-005,generic modifier 테스트 통과,HIGH
G4D-002,Phase 4,Restrictions,Cannot and immunity effects 포팅,cannot 계열과 immunity 효과 구현,restriction immunity batch,cannot immunity 테스트,docs/test-results/goals/G4D-002_cannot_immunity_effects_unit_test_results.md,G4D-001,cannot immunity 테스트 통과,HIGH
G4D-003,Phase 4,Digivolution,Digivolution requirement effects 포팅,진화 조건 변경과 무시 효과 구현,digivolution requirement effects,digivolution requirement 테스트,docs/test-results/goals/G4D-003_digivolution_requirement_effects_unit_test_results.md,G4D-002,digivolution requirement 테스트 통과,HIGH
G4D-004,Phase 4,Sources,Source add trash reveal effects 포팅,진화원 추가 제거 공개 효과 구현,source manipulation effects,source add trash reveal 테스트,docs/test-results/goals/G4D-004_source_manipulation_effects_unit_test_results.md,G4D-003,source manipulation 테스트 통과,HIGH
G4E-001,Phase 4,CardSpecific,AD1 card-specific batch 포팅,AD1 source directory card effect 구현,AD1 card effects,AD1 representative 테스트,docs/test-results/goals/G4E-001_ad1_card_effect_batch_unit_test_results.md,G4D-004,AD1 batch 테스트 통과,HIGH
G4E-002,Phase 4,CardSpecific,BT card-specific batch 포팅,BT 계열 card effect 구현,BT card effects,BT representative 테스트,docs/test-results/goals/G4E-002_bt_card_effect_batch_unit_test_results.md,G4E-001,BT batch 테스트 통과,HIGH
G4E-003,Phase 4,CardSpecific,EX card-specific batch 포팅,EX 계열 card effect 구현,EX card effects,EX representative 테스트,docs/test-results/goals/G4E-003_ex_card_effect_batch_unit_test_results.md,G4E-002,EX batch 테스트 통과,HIGH
G4E-004,Phase 4,CardSpecific,LM P ST card-specific batch 포팅,LM P ST 계열 card effect 구현,LM P ST card effects,LM P ST representative 테스트,docs/test-results/goals/G4E-004_lm_p_st_card_effect_batch_unit_test_results.md,G4E-003,LM P ST batch 테스트 통과,HIGH
G4E-005,Phase 4,CardSpecific,Token and special cards batch 포팅,token과 특수 카드 effect 구현,token special card effects,token special 테스트,docs/test-results/goals/G4E-005_token_special_card_effect_batch_unit_test_results.md,G4E-004,token special 테스트 통과,MEDIUM
G4F-001,Phase 4,Choices,Card effect choice integration,카드 효과 선택 통합,effect choice integration,optional target count order 테스트,docs/test-results/goals/G4F-001_card_effect_choice_integration_unit_test_results.md,G4E-005; G1E-005,card effect choice 테스트 통과,HIGH
G4F-002,Phase 4,Ordering,Card effect ordering integration,카드 효과 ordering 통합,effect ordering integration,mandatory optional ordering 테스트,docs/test-results/goals/G4F-002_card_effect_ordering_integration_unit_test_results.md,G4F-001,effect ordering 테스트 통과,HIGH
G4G-001,Phase 4,DataBinding,Card text to behavior audit,card data와 behavior binding audit,behavior audit report,text behavior mismatch 테스트,docs/test-results/goals/G4G-001_card_text_behavior_audit_unit_test_results.md,G4F-002,behavior audit 테스트 통과,MEDIUM
G4G-002,Phase 4,Coverage,Card pool coverage threshold,대상 card pool coverage 기준 달성,coverage report,coverage threshold 테스트,docs/test-results/goals/G4G-002_card_pool_coverage_threshold_unit_test_results.md,G4G-001,coverage threshold 테스트 통과,HIGH
G4Z-001,Phase 4,Gate,Phase 4 aggregate result,Phase 4 전체 결과 집계,phase4 result document,Phase 4 Goal 결과 문서 링크와 전체 테스트 통과 확인,docs/test-results/goals/G4Z-001_phase4_aggregate_unit_test_results.md,G4G-002,Phase 5 착수 가능,HIGH
G5A-001,Phase 5,Observation,Observation schema 확정,structured observation schema 확정,ObservationSnapshot schema,schema version 테스트,docs/test-results/goals/G5A-001_observation_schema_unit_test_results.md,G4Z-001,observation schema 테스트 통과,MEDIUM
G5A-002,Phase 5,Observation,Hidden information masking,player별 hidden info masking 구현,visibility masking,hand deck security masking 테스트,docs/test-results/goals/G5A-002_hidden_information_masking_unit_test_results.md,G5A-001,hidden masking 테스트 통과,HIGH
G5A-003,Phase 5,Observation,Vector schema normalization,RL vector schema와 normalization 구현,RlVectorSchema,vector length normalization 테스트,docs/test-results/goals/G5A-003_vector_schema_normalization_unit_test_results.md,G5A-002,vector schema 테스트 통과,MEDIUM
G5B-001,Phase 5,Actions,Legal action mask,legal action mask 생성 구현,ActionMask,mask legal illegal 테스트,docs/test-results/goals/G5B-001_legal_action_mask_unit_test_results.md,G5A-003,action mask 테스트 통과,HIGH
G5B-002,Phase 5,Actions,Action encode decode,action id encode decode 구현,ActionEncoder,encode decode roundtrip 테스트,docs/test-results/goals/G5B-002_action_encode_decode_unit_test_results.md,G5B-001,action encode decode 테스트 통과,HIGH
G5B-003,Phase 5,Actions,Invalid action handling,RL invalid action 처리 구현,invalid action result,invalid action penalty 테스트,docs/test-results/goals/G5B-003_invalid_action_handling_unit_test_results.md,G5B-002,invalid action 테스트 통과,MEDIUM
G5C-001,Phase 5,Rewards,Terminal reward,win loss draw terminal reward 구현,RlRewardCalculator,terminal reward 테스트,docs/test-results/goals/G5C-001_terminal_reward_unit_test_results.md,G5B-003,terminal reward 테스트 통과,MEDIUM
G5C-002,Phase 5,Rewards,Shaping reward config,선택형 shaping reward config 구현,reward config,shaping on off 테스트,docs/test-results/goals/G5C-002_shaping_reward_config_unit_test_results.md,G5C-001,shaping reward 테스트 통과,LOW
G5D-001,Phase 5,Environment,RL environment reset,environment reset 구현,HeadlessRlEnvironment reset,reset deterministic 테스트,docs/test-results/goals/G5D-001_rl_environment_reset_unit_test_results.md,G5C-002,RL reset 테스트 통과,HIGH
G5D-002,Phase 5,Environment,RL environment step,environment step 구현,HeadlessRlEnvironment step,step observation reward terminal 테스트,docs/test-results/goals/G5D-002_rl_environment_step_unit_test_results.md,G5D-001,RL step 테스트 통과,HIGH
G5E-001,Phase 5,Policies,Scripted policy runner,scripted policy episode 실행 구현,Scripted policy runner,scripted episode 테스트,docs/test-results/goals/G5E-001_scripted_policy_runner_unit_test_results.md,G5D-002,scripted policy 테스트 통과,MEDIUM
G5E-002,Phase 5,Policies,Self-play policy runner,self-play episode 실행 구현,Self-play runner,self-play deterministic 테스트,docs/test-results/goals/G5E-002_self_play_policy_runner_unit_test_results.md,G5E-001,self-play 테스트 통과,MEDIUM
G5F-001,Phase 5,Batch,Batch episode runner,batch episode 실행 구현,EpisodeBatchRunner,batch result 테스트,docs/test-results/goals/G5F-001_batch_episode_runner_unit_test_results.md,G5E-002,batch runner 테스트 통과,MEDIUM
G5F-002,Phase 5,Batch,Parallel determinism verifier,parallel 실행 결정성 검증 구현,parallel verifier,parallel same seed 테스트,docs/test-results/goals/G5F-002_parallel_determinism_verifier_unit_test_results.md,G5F-001,parallel determinism 테스트 통과,MEDIUM
G5G-001,Phase 5,Dataset,Transition dataset model,transition dataset 모델 구현,RlTransition dataset,transition schema 테스트,docs/test-results/goals/G5G-001_transition_dataset_model_unit_test_results.md,G5F-002,dataset model 테스트 통과,MEDIUM
G5G-002,Phase 5,Dataset,JSONL export validation,JSONL export와 validation 구현,Jsonl exporter validator,jsonl schema 테스트,docs/test-results/goals/G5G-002_jsonl_export_validation_unit_test_results.md,G5G-001,JSONL export 테스트 통과,MEDIUM
G5Z-001,Phase 5,Gate,Phase 5 aggregate result,Phase 5 전체 결과 집계,phase5 result document,Phase 5 Goal 결과 문서 링크와 전체 테스트 통과 확인,docs/test-results/goals/G5Z-001_phase5_aggregate_unit_test_results.md,G5G-002,Phase 6 착수 가능,MEDIUM
G6A-001,Phase 6,Scenario,Scenario data model,검증 scenario 모델 정의,Scenario model,scenario parse 테스트,docs/test-results/goals/G6A-001_scenario_data_model_unit_test_results.md,G5Z-001,scenario model 테스트 통과,HIGH
G6A-002,Phase 6,Scenario,Scenario runner,scripted scenario 실행기 구현,ScenarioRunner,scenario execution 테스트,docs/test-results/goals/G6A-002_scenario_runner_unit_test_results.md,G6A-001,scenario runner 테스트 통과,HIGH
G6B-001,Phase 6,Replay,Replay export import,replay export import 구현,ReplayRecorder ReplayRunner,replay roundtrip 테스트,docs/test-results/goals/G6B-001_replay_export_import_unit_test_results.md,G6A-002,replay export import 테스트 통과,HIGH
G6B-002,Phase 6,Replay,Golden trace comparison,golden trace 비교 구현,GoldenTrace comparer,trace comparison 테스트,docs/test-results/goals/G6B-002_golden_trace_comparison_unit_test_results.md,G6B-001,golden trace 테스트 통과,HIGH
G6B-003,Phase 6,Replay,Deterministic fingerprint gate,deterministic fingerprint gate 구현,fingerprint gate,same replay same fingerprint 테스트,docs/test-results/goals/G6B-003_deterministic_fingerprint_gate_unit_test_results.md,G6B-002,fingerprint gate 테스트 통과,HIGH
G6C-001,Phase 6,Parity,AS-IS parity harness,AS-IS Unity scenario 비교 harness 구현,ParityHarness,curated scenario load 테스트,docs/test-results/goals/G6C-001_asis_parity_harness_unit_test_results.md,G6B-003,parity harness 테스트 통과,HIGH
G6C-002,Phase 6,Parity,Setup parity scenarios,setup 초기 상태 parity 작성,setup parity scenarios,setup parity 테스트,docs/test-results/goals/G6C-002_setup_parity_scenarios_unit_test_results.md,G6C-001,setup parity 테스트 통과,HIGH
G6C-003,Phase 6,Parity,Phase memory parity scenarios,phase와 memory parity 작성,phase memory parity scenarios,phase memory parity 테스트,docs/test-results/goals/G6C-003_phase_memory_parity_scenarios_unit_test_results.md,G6C-002,phase memory parity 테스트 통과,HIGH
G6C-004,Phase 6,Parity,Movement parity scenarios,zone movement parity 작성,movement parity scenarios,movement parity 테스트,docs/test-results/goals/G6C-004_movement_parity_scenarios_unit_test_results.md,G6C-003,movement parity 테스트 통과,HIGH
G6C-005,Phase 6,Parity,Main action parity scenarios,play digivolve option pass parity 작성,main action parity scenarios,main action parity 테스트,docs/test-results/goals/G6C-005_main_action_parity_scenarios_unit_test_results.md,G6C-004,main action parity 테스트 통과,HIGH
G6C-006,Phase 6,Parity,Combat parity scenarios,attack block battle parity 작성,combat parity scenarios,combat parity 테스트,docs/test-results/goals/G6C-006_combat_parity_scenarios_unit_test_results.md,G6C-005,combat parity 테스트 통과,HIGH
G6C-007,Phase 6,Parity,Security parity scenarios,security check와 security effect parity 작성,security parity scenarios,security parity 테스트,docs/test-results/goals/G6C-007_security_parity_scenarios_unit_test_results.md,G6C-006,security parity 테스트 통과,HIGH
G6C-008,Phase 6,Parity,Representative effect parity scenarios,대표 card effect parity 작성,effect parity scenarios,effect parity 테스트,docs/test-results/goals/G6C-008_representative_effect_parity_scenarios_unit_test_results.md,G6C-007,effect parity 테스트 통과,HIGH
G6D-001,Phase 6,Coverage,Card pool coverage report,card pool 구현 coverage report 작성,coverage report,coverage threshold 테스트,docs/test-results/goals/G6D-001_card_pool_coverage_report_unit_test_results.md,G6C-008,coverage report 테스트 통과,HIGH
G6D-002,Phase 6,Regression,Regression suite assembly,regression suite 범주 조립,RegressionSuite,suite category inclusion 테스트,docs/test-results/goals/G6D-002_regression_suite_assembly_unit_test_results.md,G6D-001,regression suite 테스트 통과,HIGH
G6D-003,Phase 6,Regression,Regression result document,regression 결과 문서 작성,regression result document,result document verification 테스트,docs/test-results/goals/G6D-003_regression_result_document_unit_test_results.md,G6D-002,regression result 문서 통과,HIGH
G6E-001,Phase 6,Performance,Episode throughput benchmark,training scale episode throughput 측정,performance benchmark,episode throughput 결과 테스트,docs/test-results/goals/G6E-001_episode_throughput_benchmark_results.md,G6D-003,performance benchmark 문서화,MEDIUM
G6Z-001,Phase 6,Gate,Final completion report,전체 completion gate 결과 작성,final completion report,Phase 0~6 result document 링크 검증,docs/test-results/goals/G6Z-001_final_completion_report.md,G6E-001,완성 판정 가능,HIGH
